customer_id,transaction_date,ticket_price,discount,product
c3464287df184acc61ac1ed3aa3b1946,2012/09/03,0.01,,basic
c3464287df184acc61ac1ed3aa3b1946,2012/09/03,9.99,,basic
c3464287df184acc61ac1ed3aa3b1946,2012/10/03,9.99,,basic
c3464287df184acc61ac1ed3aa3b1946,2012/11/02,9.99,,basic
c3464287df184acc61ac1ed3aa3b1946,2012/12/02,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/01/22,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/02/21,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/03/22,9.99,20%,basic
660c3305600895f32784a8922e4d6dab,2012/04/21,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/05/21,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/06/20,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/07/20,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/08/19,9.99,5%,basic
660c3305600895f32784a8922e4d6dab,2012/09/18,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/10/18,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/11/17,9.99,,basic
660c3305600895f32784a8922e4d6dab,2012/12/17,9.99,,basic
3d4d6663e7641969288dc6d00d71a4cb,2012/01/28,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/02/27,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/03/28,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/04/27,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/05/27,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/06/26,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/07/26,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/08/25,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/09/24,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/10/24,29.99,5%,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/11/23,29.99,,platinum
3d4d6663e7641969288dc6d00d71a4cb,2012/12/23,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/01/11,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/02/10,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/03/11,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/04/10,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/05/10,29.99,5%,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/06/09,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/07/09,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/08/08,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/09/07,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/10/07,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/11/06,29.99,,platinum
0f4e1d49e68e382f0fae735241d3461f,2012/12/06,29.99,5%,platinum
c18a292c4f83553814ebc5e43e775509,2012/10/17,0.01,,basic
c18a292c4f83553814ebc5e43e775509,2012/10/17,9.99,,basic
c18a292c4f83553814ebc5e43e775509,2012/11/16,9.99,,basic
c18a292c4f83553814ebc5e43e775509,2012/12/16,9.99,,basic
