customer_id,transaction_date,ticket_price,discount,product
d3c7e417f776b451b5c50d02e23de767,2014/01/08,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/02/07,12.99,5%,silver
d3c7e417f776b451b5c50d02e23de767,2014/03/09,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/04/08,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/05/08,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/06/07,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/07/07,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/08/06,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/09/05,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/10/05,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/11/04,12.99,,silver
d3c7e417f776b451b5c50d02e23de767,2014/12/04,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/01/26,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/02/25,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/03/27,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/04/26,12.99,5%,silver
c3464287df184acc61ac1ed3aa3b1946,2014/05/26,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/06/25,12.99,20%,silver
c3464287df184acc61ac1ed3aa3b1946,2014/07/25,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/08/24,12.99,5%,silver
c3464287df184acc61ac1ed3aa3b1946,2014/09/23,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/10/23,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/11/22,12.99,,silver
c3464287df184acc61ac1ed3aa3b1946,2014/12/22,12.99,,silver
4d992d4a54fc5a908b98ec3c43281364,2014/12/26,0.01,,platinum
4d992d4a54fc5a908b98ec3c43281364,2014/12/26,29.99,,platinum
e0d47be875d399ccb10040fa8bfe18ca,2014/01/10,19.99,,gold
e0d47be875d399ccb10040fa8bfe18ca,2014/02/09,19.99,,gold
e0d47be875d399ccb10040fa8bfe18ca,2014/03/11,19.99,,gold
e0d47be875d399ccb10040fa8bfe18ca,2014/04/10,19.99,,gold
e0d47be875d399ccb10040fa8bfe18ca,2014/05/10,19.99,,gold
