item_name,item_id,item_category_id
,0,40
,1,76
,2,40
,3,40
,4,40
,5,40
,6,40
,7,40
,8,40
,9,40
,10,40
,11,40
,12,55
,13,40
,14,40
,15,40
,16,40
,17,40
,18,40
,19,40
,20,40
,21,40
,22,40
,23,40
,24,40
,25,40
,26,40
,27,19
,28,30
,29,23
,30,40
,31,37
,32,40
,33,37
,34,40
,35,40
,36,37
,37,40
,38,41
,39,41
,40,57
,41,57
,42,57
,43,40
,44,57
,45,57
,46,57
,47,57
,48,57
,49,57
,50,57
,51,57
,52,57
,53,57
,54,57
,55,43
,56,57
,57,57
,58,78
,59,57
,60,43
,61,43
,62,37
,63,40
,64,40
,65,37
,66,37
,67,40
,68,30
,69,54
,70,49
,71,37
,72,40
,73,40
,74,37
,75,40
,76,37
,77,40
,78,40
,79,40
,80,37
,81,40
,82,37
,83,40
,84,40
,85,37
,86,40
,87,37
,88,40
,89,40
,90,40
,91,37
,92,37
,93,43
,94,40
,95,40
,96,40
,97,40
,98,40
,99,37
,100,40
,101,78
,102,76
,103,76
,104,76
,105,30
,106,30
,107,44
,108,44
,109,57
,110,44
,111,57
,112,44
,113,57
,114,44
,115,57
,116,57
,117,44
,118,44
,119,44
,120,44
,121,44
,122,44
,123,44
,124,44
,125,44
,126,44
,127,44
,128,44
,129,44
,130,44
,131,44
,132,44
,133,45
,134,45
,135,45
,136,45
,137,44
,138,45
,139,45
,140,45
,141,44
,142,45
,143,45
,144,44
,145,44
,146,44
,147,44
,148,44
,149,45
,150,44
,151,45
,152,45
,153,45
,154,45
,155,45
,156,45
,157,44
,158,44
,159,44
,160,44
,161,44
,162,45
,163,44
,164,44
,165,45
,166,45
,167,44
,168,44
,169,44
,170,45
,171,45
,172,45
,173,45
,174,44
,175,45
,176,45
,177,45
,178,45
,179,45
,180,44
,181,44
,182,44
,183,44
,184,44
,185,44
,186,44
,187,44
,188,44
,189,44
,190,44
,191,44
,192,44
,193,44
,194,44
,195,44
,196,44
,197,45
,198,45
,199,45
,200,45
,201,44
,202,45
,203,44
,204,44
,205,45
,206,44
,207,45
,208,44
,209,44
,210,45
,211,44
,212,44
,213,45
,214,44
,215,45
,216,44
,217,44
,218,45
,219,45
,220,44
,221,44
,222,44
,223,44
,224,45
,225,45
,226,45
,227,44
,228,45
,229,44
,230,45
,231,44
,232,45
,233,45
,234,45
,235,45
,236,45
